AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact,Procrastination_num,StudyDelay_num,CourseworkDistraction_num,Procrastination_Index,ImpactOrder
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Rarely ,Slightly,Moderately ,Sometimes ,Rarely ,Sometimes ,Sometimes,Always ,Sometimes ,Moderately ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,1–3 hours ,Always ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
25–34,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,linkedin,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes,Sometimes ,Moderately,Moderately ,Always ,Always ,Sometimes ,Sometimes,Often ,Often ,Moderately ,tiktok,Often ,Moderately ,4,4,5,4.333333333333333,3
18–24,Male ,Less than 1 hour ,Rarely ,Slightly ,Rarely,Sometimes ,Slightly,Slightly ,Often ,Rarely ,Rarely ,Sometimes,Often ,Rarely ,Moderately ,facebook,Rarely ,Slightly ,2,4,3,3.0,2
25–34,Female ,More than 3 hours ,Sometimes ,Moderately ,Often,Sometimes ,Moderately,Moderately ,Rarely ,Sometimes ,Sometimes ,Often,Often ,Often ,Moderately ,youtube,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
25–34,Male ,1–3 hours ,Often ,Slightly ,Sometimes,Rarely ,Not at all,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Slightly ,snapchat,Sometimes ,Not at all ,4,4,1,3.0,1
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Slightly,Slightly ,Rarely ,Sometimes ,Often ,Sometimes,Rarely ,Sometimes ,Significantly ,facebook,Always ,Slightly ,4,4,3,3.6666666666666665,2
Below 18,Other ,More than 3 hours ,Always ,Significantly ,Always,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,8,6,5,6.333333333333333,3
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes,Sometimes ,Sometimes ,Moderately ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
Below 18,Female ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,snapchat,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Slightly,Slightly ,Rarely ,Sometimes ,Often ,Sometimes,Rarely ,Sometimes ,Significantly ,facebook,Always ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,1–3 hours ,Sometimes ,Not at all ,Sometimes,Rarely ,Slightly,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely,Sometimes ,Often ,Moderately ,facebook,Often ,Moderately ,4,2,3,3.0,3
Below 18,Male ,1–3 hours ,Often ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,facebook,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Always ,Moderately,Moderately ,Always ,Always ,Often ,Always,Often ,Often ,Significantly ,tiktok,Always ,Moderately ,6,8,5,6.333333333333333,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Often ,Moderately,Significantly ,Always ,Always ,Often ,Often,Sometimes ,Sometimes ,Moderately ,facebook,Sometimes ,Significantly ,8,6,5,6.333333333333333,4
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Moderately ,Often ,Always ,Often ,Often,Always ,Always ,Significantly ,tiktok,Often ,Moderately ,8,6,7,7.0,3
Below 18,Other ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Moderately,Slightly ,Always ,Often ,Always ,Often,Always ,Often ,Significantly ,tiktok,Often ,Significantly ,4,6,5,5.0,4
18–24,Female ,1–3 hours ,Often ,Slightly ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Sometimes ,Sometimes,Always ,Often ,Not at all ,instagram,Rarely ,Moderately ,2,4,1,2.3333333333333335,3
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always,Sometimes ,Moderately,Significantly ,Often ,Often ,Always ,Always,Often ,Always ,Moderately ,facebook,Always ,Moderately ,8,8,5,7.0,3
18–24,Female ,More than 3 hours ,Rarely ,Slightly ,Rarely,Sometimes ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Often ,Always ,Slightly ,facebook,Always ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Often ,Moderately,Moderately ,Often ,Often ,Always ,Always,Often ,Always ,Significantly ,facebook,Always ,Significantly ,6,8,5,6.333333333333333,4
18–24,Female ,1–3 hours ,Sometimes ,Not at all ,Sometimes,Rarely ,Slightly,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely,Sometimes ,Often ,Moderately ,facebook,Often ,Moderately ,4,2,3,3.0,3
Below 18,Male ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Moderately,Not at all ,Rarely ,Rarely ,Rarely ,Sometimes,Often ,Sometimes ,Not at all ,snapchat,Rarely ,Moderately ,2,4,5,3.6666666666666665,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always,Always ,Significantly,Moderately ,Always ,Rarely ,Often ,Often,Sometimes ,Always ,Significantly ,facebook,Sometimes ,Significantly ,8,6,7,7.0,4
18–24,Male ,More than 3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Significantly,Moderately ,Sometimes ,Often ,Sometimes ,Sometimes,Sometimes ,Rarely ,Significantly ,facebook,Always ,Slightly ,4,4,7,5.0,2
25–34,Male ,More than 3 hours ,Always ,Slightly ,Sometimes,Sometimes ,Not at all,Significantly ,Often ,Rarely ,Sometimes ,Rarely,Rarely ,Sometimes ,Slightly ,twitter,Rarely ,Not at all ,4,2,1,2.3333333333333335,1
18–24,Male ,More than 3 hours ,Often ,Slightly ,Sometimes,Sometimes ,Moderately,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Not at all ,youtube,Sometimes ,Slightly ,4,4,5,4.333333333333333,2
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Sometimes ,Sometimes ,Often,Often ,Sometimes ,Moderately ,facebook,Often ,Moderately ,4,6,3,4.333333333333333,3
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Rarely ,Often ,Rarely ,Sometimes,Always ,Sometimes ,Significantly ,facebook,Often ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Other ,More than 3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Often ,Sometimes ,Often,Sometimes ,Sometimes ,Slightly ,linkedin,Often ,Slightly ,4,6,3,4.333333333333333,2
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Moderately ,Often ,Always ,Often ,Often,Always ,Always ,Significantly ,tiktok,Often ,Moderately ,8,6,7,7.0,3
25–34,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Significantly,Significantly ,Often ,Sometimes ,Often ,Always,Always ,Sometimes ,Significantly ,instagram,Often ,Moderately ,4,8,7,6.333333333333333,3
18–24,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Rarely ,Not at all ,youtube,Rarely ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Sometimes,Rarely ,Slightly,Moderately ,Often ,Often ,Often ,Sometimes,Sometimes ,Sometimes ,Significantly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,More than 3 hours ,Often ,Significantly ,Always,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Often ,Significantly ,facebook,Sometimes ,Moderately ,8,6,5,6.333333333333333,3
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Moderately ,youtube,Always ,Significantly ,4,6,3,4.333333333333333,4
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Always ,Significantly,Significantly ,Always ,Always ,Often ,Always,Often ,Often ,Significantly ,snapchat,Often ,Moderately ,6,8,7,7.0,3
18–24,Female ,More than 3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes,Often ,Often ,Moderately ,facebook,Sometimes ,Moderately ,6,4,5,5.0,3
25–34,Other ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Often ,Significantly ,snapchat,Always ,Slightly ,8,8,7,7.666666666666667,2
18–24,Female ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Slightly,Moderately ,Sometimes ,Rarely ,Rarely ,Sometimes,Often ,Sometimes ,Slightly ,snapchat,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Often ,Moderately,Significantly ,Always ,Always ,Always ,Often,Always ,Often ,Moderately ,tiktok,Often ,Moderately ,8,6,5,6.333333333333333,3
18–24,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,2,4,3,3.0,2
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always,Always ,Significantly,Moderately ,Often ,Often ,Always ,Often,Often ,Often ,Significantly ,snapchat,Always ,Moderately ,8,6,7,7.0,3
25–34,Male ,More than 3 hours ,Sometimes ,Significantly ,Often,Often ,Significantly,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,6,6,7,6.333333333333333,2
25–34,Female ,More than 3 hours ,Sometimes ,Moderately ,Often,Sometimes ,Moderately,Moderately ,Rarely ,Sometimes ,Sometimes ,Often,Often ,Often ,Moderately ,youtube,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
18–24,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Male ,More than 3 hours ,Sometimes ,Slightly ,Often,Sometimes ,Moderately,Slightly ,Often ,Often ,Often ,Sometimes,Often ,Sometimes ,Moderately ,facebook,Often ,Moderately ,6,4,5,5.0,3
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely,Rarely ,Sometimes ,Slightly ,tiktok,Sometimes ,Slightly ,2,2,3,2.3333333333333335,2
18–24,Male ,More than 3 hours ,Always ,Moderately ,Often,Often ,Significantly,Significantly ,Often ,Always ,Always ,Always,Sometimes ,Always ,Moderately ,facebook,Always ,Significantly ,6,8,7,7.0,4
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes,Sometimes ,Often ,Significantly ,facebook,Sometimes ,Significantly ,6,4,5,5.0,4
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Always ,Moderately,Moderately ,Often ,Often ,Always ,Always,Always ,Often ,Significantly ,facebook,Always ,Moderately ,6,8,5,6.333333333333333,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Sometimes ,Slightly,Moderately ,Always ,Often ,Often ,Often,Often ,Rarely ,Moderately ,facebook,Rarely ,Moderately ,6,6,3,5.0,3
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes,Sometimes ,Sometimes ,Moderately ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Male ,1–3 hours ,Often ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Moderately ,tiktok,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,1–3 hours ,Always ,Significantly ,Always,Always ,Significantly,Moderately ,Often ,Often ,Often ,Always,Always ,Always ,Significantly ,youtube,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Often ,Moderately,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,twitter,Sometimes ,Slightly ,4,4,5,4.333333333333333,2
18–24,Male ,1–3 hours ,Rarely ,Significantly ,Often,Often ,Significantly,Significantly ,Often ,Sometimes ,Sometimes ,Sometimes,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,4,7,5.666666666666667,3
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Often ,Significantly,Moderately ,Always ,Always ,Always ,Always,Often ,Always ,Significantly ,instagram,Always ,Significantly ,6,8,7,7.0,4
18–24,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely,Rarely ,Sometimes ,Slightly ,facebook,Rarely ,Slightly ,4,2,3,3.0,2
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Rarely ,Moderately,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Often ,Moderately ,youtube,Sometimes ,Slightly ,6,4,5,5.0,2
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Often,Rarely ,Slightly,Moderately ,Often ,Often ,Rarely ,Always,Always ,Always ,Not at all ,youtube,Always ,Slightly ,6,8,3,5.666666666666667,2
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Rarely ,Sometimes,Sometimes ,Sometimes ,Significantly ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes,Rarely ,Slightly,Moderately ,Sometimes ,Rarely ,Sometimes ,Rarely,Sometimes ,Rarely ,Moderately ,facebook,Often ,Slightly ,4,2,3,3.0,2
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always,Always ,Significantly,Moderately ,Often ,Often ,Always ,Often,Often ,Often ,Significantly ,snapchat,Always ,Moderately ,8,6,7,7.0,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Rarely ,Moderately,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Often ,Moderately ,youtube,Sometimes ,Slightly ,6,4,5,5.0,2
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Often ,Significantly,Moderately ,Always ,Often ,Often ,Often,Often ,Often ,Significantly ,facebook,Often ,Significantly ,6,6,7,6.333333333333333,4
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Significantly ,6,6,5,5.666666666666667,4
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Sometimes ,Slightly,Significantly ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,3,2.3333333333333335,1
18–24,Female ,1–3 hours ,Often ,Slightly ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Sometimes ,Sometimes,Always ,Often ,Not at all ,instagram,Rarely ,Moderately ,2,4,1,2.3333333333333335,3
25–34,Female ,More than 3 hours ,Often ,Slightly ,Sometimes,Always ,Moderately,Significantly ,Often ,Often ,Always ,Often,Often ,Always ,Moderately ,twitter,Always ,Moderately ,4,6,5,5.0,3
25–34,Female ,1–3 hours ,Always ,Moderately ,Always,Often ,Significantly,Significantly ,Often ,Always ,Always ,Often,Often ,Always ,Moderately ,youtube,Always ,Significantly ,8,6,7,7.0,4
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Often,Sometimes ,Moderately,Slightly ,Often ,Often ,Sometimes ,Sometimes,Sometimes ,Often ,Moderately ,youtube,Often ,Moderately ,6,4,5,5.0,3
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,others,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Rarely ,Slightly ,Rarely,Rarely ,Slightly,Moderately ,Sometimes ,Rarely ,Rarely ,Rarely,Always ,Often ,Significantly ,facebook,Always ,Significantly ,2,2,3,2.3333333333333335,4
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,linkedin,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
Below 18,Male ,More than 3 hours ,Often ,Slightly ,Often,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Always ,Often,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Significantly ,6,6,5,5.666666666666667,4
18–24,Female ,1–3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Often ,Often ,Often,Often ,Often ,Slightly ,facebook,Sometimes ,Slightly ,4,6,3,4.333333333333333,2
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Always ,Significantly,Significantly ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,instagram,Often ,Significantly ,6,6,7,6.333333333333333,4
18–24,Male ,More than 3 hours ,Always ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Rarely ,Rarely ,Moderately ,facebook,Sometimes ,Slightly ,6,6,5,5.666666666666667,2
18–24,Female ,More than 3 hours ,Often ,Slightly ,Often,Often ,Slightly,Slightly ,Sometimes ,Often ,Often ,Often,Often ,Sometimes ,Moderately ,tiktok,Sometimes ,Slightly ,6,6,3,5.0,2
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
25–34,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,More than 3 hours ,Sometimes ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Sometimes ,Rarely ,Rarely,Often ,Often ,Not at all ,facebook,Often ,Not at all ,2,2,1,1.6666666666666667,1
Below 18,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Always ,Moderately ,facebook,Always ,Significantly ,4,8,7,6.333333333333333,4
Below 18,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Moderately ,Often ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Slightly ,facebook,Often ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Slightly,Slightly ,Sometimes ,Often ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,2,4,3,3.0,2
18–24,Other ,More than 3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Often ,Sometimes ,Often,Sometimes ,Sometimes ,Slightly ,linkedin,Often ,Slightly ,4,6,3,4.333333333333333,2
25–34,Female ,1–3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Often ,Sometimes ,Sometimes ,Often,Rarely ,Sometimes ,Moderately ,others,Always ,Significantly ,4,6,5,5.0,4
Below 18,Male ,More than 3 hours ,Always ,Moderately ,Always,Always ,Moderately,Significantly ,Sometimes ,Sometimes ,Always ,Always,Sometimes ,Often ,Moderately ,instagram,Always ,Slightly ,8,8,5,7.0,2
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely,Always ,Rarely ,Significantly ,facebook,Always ,Moderately ,4,2,3,3.0,3
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Often,Rarely ,Slightly,Moderately ,Often ,Often ,Rarely ,Always,Always ,Always ,Not at all ,youtube,Always ,Slightly ,6,8,3,5.666666666666667,2
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Always ,Significantly ,youtube,Sometimes ,Significantly ,8,8,7,7.666666666666667,4
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Slightly,Slightly ,Sometimes ,Often ,Often ,Sometimes,Rarely ,Sometimes ,Slightly ,facebook,Rarely ,Slightly ,2,4,3,3.0,2
25–34,Male ,More than 3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,4,2,3,3.0,1
25–34,Female ,More than 3 hours ,Often ,Significantly ,Always,Often ,Significantly,Significantly ,Always ,Often ,Often ,Always,Always ,Often ,Significantly ,facebook,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,1–3 hours ,Always ,Significantly ,Always,Always ,Significantly,Moderately ,Often ,Often ,Often ,Always,Always ,Always ,Significantly ,youtube,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Slightly,Moderately ,Sometimes ,Rarely ,Rarely ,Sometimes,Often ,Sometimes ,Slightly ,snapchat,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,youtube,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
18–24,Female ,1–3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Sometimes ,Not at all ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
25–34,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,1–3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Moderately ,Often ,Often ,Often ,Often,Always ,Always ,Significantly ,instagram,Always ,Significantly ,6,6,5,5.666666666666667,4
18–24,Male ,Less than 1 hour ,Often ,Moderately ,Always,Sometimes ,Moderately,Moderately ,Always ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,8,6,5,6.333333333333333,3
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Sometimes ,Often ,Sometimes,Often ,Often ,Slightly ,facebook,Sometimes ,Slightly ,6,4,5,5.0,2
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often,Always ,Moderately,Significantly ,Always ,Always ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
25–34,Male ,More than 3 hours ,Sometimes ,Significantly ,Often,Often ,Significantly,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,6,6,7,6.333333333333333,2
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Sometimes ,Slightly,Significantly ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,3,2.3333333333333335,1
18–24,Female ,1–3 hours ,Rarely ,Moderately ,Sometimes,Sometimes ,Slightly,Significantly ,Often ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Significantly ,facebook,Sometimes ,Significantly ,4,4,3,3.6666666666666665,4
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Often ,Slightly,Moderately ,Often ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Slightly ,linkedin,Often ,Moderately ,6,4,3,4.333333333333333,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Always ,Significantly,Moderately ,Always ,Often ,Always ,Always,Often ,Always ,Significantly ,twitter,Often ,Moderately ,6,8,7,7.0,3
